address,span_end,state,confidence,evidence_id,notes
0x00401000,0x004010FA,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 251/251, tail ret"
0x00401110,0x00401259,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 330/330, tail ret"
0x00401260,0x00401432,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 467/467, tail ret"
0x00401440,0x00401484,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 69/69, tail ret"
0x004014D0,0x004014E9,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 26/26, tail ret"
0x004014F0,0x00401509,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 26/26, tail ret"
0x00401510,0x00401516,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 7/7, tail ret"
0x00401520,0x00401529,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 10/10, tail ret"
0x00401530,0x004015B3,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 132/132, tail ret"
0x004015C0,0x0040162C,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 109/109, tail ret"
0x00401630,0x00401684,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 85/85, tail ret"
0x00401690,0x004016F3,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 100/100, tail ret"
0x00401700,0x0040175D,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 94/94, tail ret"
0x00401760,0x00401A41,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 738/738, tail ret"
0x00401A50,0x00401C89,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 570/570, tail ret"
0x00401C90,0x00401C95,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 6/6, tail ret"
0x00401D20,0x00401D5B,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=1; no overlap or external interior branch
0x00401DE0,0x00401EF0,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 273/273, tail ret"
0x00401F00,0x00401F36,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 55/55, tail ret"
0x00401F40,0x00401F4E,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 15/15, tail ret"
0x00401FF0,0x00402011,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 34/34, tail ret"
0x00402050,0x004020A7,reviewed,high,prior-target-boundary-review+target-boundary-audit-2026-09-15,"Prior boundary evidence retained; dense decode 88/88, tail ret"
0x00402160,0x0040221B,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=1; no overlap or external interior branch
0x00402230,0x00402439,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=1; no overlap or external interior branch
0x00402440,0x00402632,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=5; no overlap or external interior branch
0x00402640,0x004026D6,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=2; no overlap or external interior branch
0x00402720,0x0040284F,provisional,medium,target-boundary-audit-2026-09-15,"Complete dense decode ends in ret, but no independent entry reference was found"
0x00402850,0x00402C9A,provisional,medium,target-boundary-audit-2026-09-15,"Complete dense decode ends in ret, but no independent entry reference was found"
0x00402CA0,0x00403040,provisional,medium,target-boundary-audit-2026-09-15,"Complete dense decode ends in ret, but no independent entry reference was found"
0x00403090,0x0040384F,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=1; no overlap or external interior branch
0x00403850,0x00403983,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=1; no overlap or external interior branch
0x00403990,0x00403A29,reviewed,high,target-boundary-audit-2026-09-15,Complete dense decode ends in ret; direct-code-refs=1; no overlap or external interior branch
